UNITID,INSTNM,INSTURL,ADM_RATE_ALL,SAT_AVG_ALL,ACTCMMID,UGDS,UGDS_MEN,UGDS_WOMEN,TUITIONFEE_IN,TUITIONFEE_OUT
109785,Azusa Pacific University,www.apu.edu,0.809007232,1080,24,5883,0.3474,0.6526,34754,34754
110097,Biola University,www.biola.edu,0.698502839,1115,25,4219,0.366,0.634,34498,34498
110361,California Baptist University,www.calbaptist.edu,0.654066986,960,21,6604,0.372,0.628,30384,30384
110404,California Institute of Technology,www.caltech.edu,0.088072548,1544,35,1001,0.6094,0.3906,45390,45390
110413,California Lutheran University,www.callutheran.edu/,0.615618816,1109,25,2802,0.4254,0.5746,38430,38430
110422,California Polytechnic State University-San Luis Obispo,calpoly.edu,0.312921828,1259,29,19972,0.5339,0.4661,9001,20161
110510,California State University-San Bernardino,www.csusb.edu,0.645899739,887,18,17518,0.3942,0.6058,6577,17737
110529,California State Polytechnic University-Pomona,www.cpp.edu,0.393058632,1066,24,22034,0.5576,0.4424,7016,18176
110538,California State University-Chico,www.csuchico.edu,0.634490334,1003,22,15903,0.4759,0.5241,7022,18182
110556,California State University-Fresno,www.csufresno.edu,0.521917946,897,19,21076,0.4247,0.5753,6311,17471
110565,California State University-Fullerton,www.fullerton.edu,0.418608542,1024,22,33009,0.4467,0.5533,6437,17597
110583,California State University-Long Beach,www.csulb.edu,0.3381576,1056,23,32025,0.4384,0.5616,6452,17612
110592,California State University-Los Angeles,www.calstatela.edu,0.68133731,874,18,23424,0.4154,0.5846,6355,17515
110608,California State University-Northridge,www.csun.edu,0.455986529,902,19,36979,0.4626,0.5374,6569,17729
110617,California State University-Sacramento,www.csus.edu,0.672527665,948,20,27323,0.4403,0.5597,6872,18032
110635,University of California-Berkeley,www.berkeley.edu,0.168836272,1397,32,27496,0.4795,0.5205,13431,38139
110644,University of California-Davis,www.ucdavis.edu,0.379523854,1226,28,28239,0.4111,0.5889,13951,38659
110653,University of California-Irvine,www.uci.edu/,0.386819923,1175,27,25245,0.4624,0.5376,13252,37960
110662,University of California-Los Angeles,www.ucla.edu/,0.172791024,1339,31,29581,0.4394,0.5606,12763,37471
110671,University of California-Riverside,WWW.UCR.EDU,0.555996988,1119,26,18597,0.4806,0.5194,13527,38235
110680,University of California-San Diego,www.ucsd.edu,0.337364369,1344,31,26584,0.5249,0.4751,13530,38238
110705,University of California-Santa Barbara,www.ucsb.edu,0.326443235,1248,29,20606,0.4718,0.5282,13968,38676
110714,University of California-Santa Cruz,www.ucsc.edu/,0.502877097,1201,28,16231,0.4748,0.5252,13461,38169
111948,Chapman University,www.chapman.edu,0.475786394,1217,28,6281,0.3972,0.6028,47260,47260
112075,Concordia University-Irvine,www.cui.edu,0.591706539,1029,23,1863,0.3634,0.6366,31690,31690
112084,San Diego Christian College,www.sdcc.edu,0.517321016,933,20,905,0.4597,0.5403,28470,28470
112260,Claremont McKenna College,www.cmc.edu,0.109558413,1408,31,1325,0.5109,0.4891,49045,49045
113698,Dominican University of California,www.dominican.edu,0.788337925,1054,23,1358,0.2754,0.7246,42550,42550
114813,Fresno Pacific University,www.fresno.edu,0.631274131,988,22,2342,0.2904,0.7096,27954,27954
115409,Harvey Mudd College,https://www.hmc.edu,0.129643117,1484,34,812,0.532,0.468,50649,50649
115728,Holy Names University,www.hnu.edu,0.430045872,858,18,624,0.3606,0.6394,35666,35666
115755,Humboldt State University,www.humboldt.edu,0.770010754,990,21,8227,0.4422,0.5578,7195,18364
117104,Life Pacific College,www.lifepacific.edu,0.638392857,901,18,520,0.4365,0.5635,13320,13320
117140,University of La Verne,www.laverne.edu/,0.471818071,1034,22,5140,0.4152,0.5848,38560,38560
117627,La Sierra University,https://lasierra.edu,0.44616451,929,19,2020,0.4139,0.5861,30471,30471
117751,The Master's University and Seminary,www.masters.edu,0.946938776,1091,24,1126,0.5258,0.4742,30920,30920
117946,Loyola Marymount University,www.lmu.edu,0.50782661,1222,28,6162,0.4352,0.5648,42795,42795
118693,Menlo College,www.menlo.edu,0.380777096,1018,22,784,0.5548,0.4452,38750,38750
118888,Mills College,https://www.mills.edu,0.71556551,1183,27,852,0,1,44258,44258
119173,Mount Saint Mary's University,www.msmu.edu,0.765267968,915,19,2767,0.0643,0.9357,35944,35944
120184,Notre Dame de Namur University,www.ndnu.edu,0.866666667,910,19,1097,0.3318,0.6682,32608,32608
120254,Occidental College,www.oxy.edu,0.44865505,1304,30,1997,0.4347,0.5653,49248,49248
120403,Otis College of Art and Design,www.otis.edu,0.903638151,1045,22,1099,0.3285,0.6715,42314,42314
120537,Hope International University,www.hiu.edu,0.342530923,910,19,843,0.4603,0.5397,28550,28550
120865,Pacific Union College,www.puc.edu,0.452229299,984,21,1508,0.4178,0.5822,29064,29064
120883,University of the Pacific,www.pacific.edu,0.645581009,1152,26,3720,0.4817,0.5183,42934,42934
121150,Pepperdine University,www.pepperdine.edu/,0.381033962,1226,28,3514,0.4095,0.5905,48342,48342
121309,Point Loma Nazarene University,www.pointloma.edu,0.713421146,1148,26,2763,0.3579,0.6421,32400,32400
121345,Pomona College,www.pomona.edu,0.102975676,1435,32,1640,0.4976,0.5024,47620,47620
121691,University of Redlands,www.redlands.edu,0.675156576,1130,25,3452,0.4395,0.5605,44900,44900
122409,San Diego State University,www.sdsu.edu,0.344126264,1130,25,28649,0.4549,0.5451,6976,18136
122436,University of San Diego,www.sandiego.edu,0.51678245,1236,28,5551,0.4554,0.5446,44586,44586
122597,San Francisco State University,www.sfsu.edu,0.678805307,979,21,25867,0.4369,0.5631,6476,17636
122612,University of San Francisco,https://www.usfca.edu,0.643577804,1172,26,6682,0.3798,0.6202,42634,42634
122728,William Jessup University,WWW.JESSUP.EDU,0.760536398,1012,22,1093,0.4181,0.5819,26480,26480
122755,San Jose State University,www.sjsu.edu,0.552249542,1055,23,26670,0.5229,0.4771,7378,18538
122931,Santa Clara University,www.scu.edu,0.487952212,1313,30,5344,0.5082,0.4918,45300,45300
123165,Scripps College,www.scrippscollege.edu,0.278989667,1362,31,968,0,1,49152,49152
123457,Simpson University,www.simpsonu.edu,0.515248796,1001,21,959,0.3608,0.6392,25200,25200
123554,Saint Mary's College of California,www.stmarys-ca.edu,0.975351179,1124,25,2916,0.4029,0.5971,42930,42930
123572,Sonoma State University,www.sonoma.edu,0.76554209,996,22,8589,0.3791,0.6209,7330,18490
123651,Vanguard University of Southern California,www.vanguard.edu,0.682582381,975,21,1856,0.3578,0.6422,30050,30050
123952,Southern California Institute of Architecture,www.sciarc.edu,0.73364486,1116,27,255,0.6196,0.3804,43334,43334
123961,University of Southern California,www.usc.edu/,0.176816116,1391,32,18519,0.4925,0.5075,50277,50277
124292,Thomas Aquinas College,https://www.thomasaquinas.edu,0.751322751,1280,30,377,0.504,0.496,24500,24500
125727,Westmont College,www.westmont.edu,0.812229177,1179,26,1296,0.392,0.608,41360,41360
125763,Whittier College,www.whittier.edu,0.626155624,1057,23,1643,0.44,0.56,43280,43280
125897,Woodbury University,woodbury.edu/,0.576005961,944,19,1245,0.506,0.494,36408,36408
243744,Stanford University,www.stanford.edu/,0.050356496,1479,33,6994,0.5237,0.4763,46320,46320
366711,California State University-San Marcos,www.csusm.edu,0.540384896,955,21,12103,0.3943,0.6057,7269,18429
399911,Soka University of America,www.soka.edu,0.461197339,1229,27,432,0.3773,0.6227,30642,30642
445188,University of California-Merced,www.ucmerced.edu,0.606881561,1025,23,6237,0.4865,0.5135,13208,37916
462354,John Paul the Great Catholic University,www.jpcatholic.com/,0.950819672,1106,25,206,0.5728,0.4272,24900,24900
